Year,Types of violence,AGE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2007,Emotional violence,Y15T49,2007,,,14.0
2007,Emotional violence,Y15T24,2007,,,11.1
2007,Emotional violence,Y25T34,2007,,,14.3
2007,Emotional violence,Y35T49,2007,,,14.6
2012,Emotional violence,Y15T49,2012,,,17.4
2012,Emotional violence,Y15T24,2012,,,15.1
2012,Emotional violence,Y25T34,2012,,,18.7
2012,Emotional violence,Y35T49,2012,,,17.1
2017,Emotional violence,Y15T49,2017-18,,,16.1
2017,Emotional violence,Y15T24,2017-18,,,16.0
2017,Emotional violence,Y25T34,2017-18,,,14.6
2017,Emotional violence,Y35T49,2017-18,,,17.2
2007,Physical violence,Y15T49,2007,,,12.2
2007,Physical violence,Y15T24,2007,,,13.2
2007,Physical violence,Y25T34,2007,,,14.0
2007,Physical violence,Y35T49,2007,,,10.4
2012,Physical violence,Y15T49,2012,,,11.2
2012,Physical violence,Y15T24,2012,,,11.9
2012,Physical violence,Y25T34,2012,,,13.6
2012,Physical violence,Y35T49,2012,,,9.3
2017,Physical violence,Y15T49,2017-18,,,12.7
2017,Physical violence,Y15T24,2017-18,,,11.5
2017,Physical violence,Y25T34,2017-18,,,13.4
2017,Physical violence,Y35T49,2017-18,,,12.5
2007,Sexual violence,Y15T49,2007,,,5.6
2007,Sexual violence,Y15T24,2007,,,6.2
2007,Sexual violence,Y25T34,2007,,,6.9
2007,Sexual violence,Y35T49,2007,,,4.3
2012,Sexual violence,Y15T49,2012,,,6.0
2012,Sexual violence,Y15T24,2012,,,5.8
2012,Sexual violence,Y25T34,2012,,,6.3
2012,Sexual violence,Y35T49,2012,,,5.8
2017,Sexual violence,Y15T49,2017-18,,,3.3
2017,Sexual violence,Y15T24,2017-18,,,2.4
2017,Sexual violence,Y25T34,2017-18,,,3.0
2017,Sexual violence,Y35T49,2017-18,,,3.8
2007,Physical or sexual or emotional violence,Y15T49,2007,,,20.2
2007,Physical or sexual or emotional violence,Y15T24,2007,,,18.3
2007,Physical or sexual or emotional violence,Y25T34,2007,,,21.5
2007,Physical or sexual or emotional violence,Y35T49,2007,,,19.7
2012,Physical or sexual or emotional violence,Y15T49,2012,,,22.0
2012,Physical or sexual or emotional violence,Y15T24,2012,,,20.1
2012,Physical or sexual or emotional violence,Y25T34,2012,,,24.4
2012,Physical or sexual or emotional violence,Y35T49,2012,,,20.8
2017,Physical or sexual or emotional violence,Y15T49,2017-18,,,20.4
2017,Physical or sexual or emotional violence,Y15T24,2017-18,,,18.4
2017,Physical or sexual or emotional violence,Y25T34,2017-18,,,19.8
2017,Physical or sexual or emotional violence,Y35T49,2017-18,,,21.3
